title,RefinableString01,AssuntoNormativoOWSMTXT,ResponsavelOWSText,listItemId,TipodoNormativoOWSCHCS,NumeroOWSNMBR,RevogadoOWSBOOL,HitHighlightedSummary,CanceladoOWSBOOL,data,RefinableString03,RowNumber
Comunicado N° 41.608,13/5/2024 09:37,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,131966,Comunicado,41608,0,Instituição Cooperativa de Crédito de Livre Admissão da Grande Goiânia Ltda. (CNPJ  Instituição Cooperativa de Crédito e Economia com Interação Solidária do Planalto Serra do  ,0,2024-05-13T12:37:49Z,13/5/2024 09:37,116
Comunicado N° 41.602,10/5/2024 08:30,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,131960,Comunicado,41602,0,Instituição Cooperativa de Crédito de Livre Admissão do Centro Sul de Mato Grosso do Sul  Instituição Cooperativa de Crédito e Investimento com Interação Solidária Confiança  ,0,2024-05-10T11:30:18Z,10/5/2024 08:30,117
Comunicado N° 41.596,9/5/2024 09:36,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,131954,Comunicado,41596,0,Instituição Cooperativa de Crédito Sul - Sicoob Sul (CNPJ 05.888.589  Instituição Sicredi Ceará - Cooperativa de Crédito do Estado do Ceará (CNPJ 72.257.793  ,0,2024-05-09T12:36:12Z,9/5/2024 09:36,118
Comunicado N° 41.590,8/5/2024 09:09,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,131948,Comunicado,41590,0,Instituição Cooperativa de Crédito CrediNacional Ltda. - Sicoob CrediNacional (CNPJ  Instituição Cooperativa de Crédito dos Empresários de Manaus - Sicoob Credempresas AM  ,0,2024-05-08T12:09:29Z,8/5/2024 09:09,119
Comunicado N° 41.586,7/5/2024 09:37,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,131944,Comunicado,41586,0,Instituição Cooperativa de Crédito de Livre Admissão de Itaúna e Região Ltda. - Sicoob  Instituição Cooperativa de Crédito de Livre Admissão do Sudoeste Goiano (CNPJ 24.795.049  ,0,2024-05-07T12:37:59Z,7/5/2024 09:37,120
Comunicado N° 41.581,6/5/2024 10:26,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,131939,Comunicado,41581,0,"Instituição Cooperativa de Crédito, Poupança e Investimento Ouro Verde do Mato Grosso  Instituição Cooperativa de Crédito e Investimento com Interação Solidária Centro Norte  ",0,2024-05-06T13:26:13Z,6/5/2024 10:26,121
Comunicado N° 41.577,3/5/2024 10:30,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,131935,Comunicado,41577,0,Instituição Cooperativa Central de Crédito com Interação Solidária - Central Cresol Baser  Instituição Cooperativa de Crédito e Investimento com Interação Solidária Centro Norte  ,0,2024-05-03T13:30:26Z,3/5/2024 10:30,122
Comunicado N° 41.570,2/5/2024 11:03,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,131928,Comunicado,41570,0,"Instituição Cooperativa de Crédito, Poupança e Investimento de Araraquara e Região  Instituição Cooperativa de Crédito e Investimento com Interação Solidária de Minas Gerais  ",0,2024-05-02T14:03:10Z,2/5/2024 11:03,123
Comunicado N° 41.562,30/4/2024 09:30,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,131920,Comunicado,41562,0,"Instituição Cooperativa de Crédito de Livre Admissão do Estado do Pará - Sicoob Cooesa  Instituição Cooperativa de Crédito, Poupança e Investimento Vale do Piquiri ABCD - Sicredi  ",0,2024-04-30T12:30:53Z,30/4/2024 09:30,124
Instrução Normativa BCB N° 468,29/4/2024 16:28,"Divulga os procedimentos operacionais relacionados às Linhas Financeiras de Liquidez (LFL), de que tratam os Regulamentos Anexos à Resolução BCB nº 374, de 27 de março de 2024.",DEBAN,52260,Instrução Normativa BCB,468,0,"Divulga os procedimentos operacionais relacionados às Linhas Financeiras de Liquidez (LFL), de  c) no caso de cooperativas
de crédito, a indicação de sua categoria, na forma do art  ",0,2024-04-29T19:28:00Z,29/4/2024 16:28,125
Comunicado N° 41.555,29/4/2024 09:18,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,131913,Comunicado,41555,0,"Instituição Cooperativa de Crédito, Poupança e Investimento de Espumoso - Sicredi Espumoso  Instituição Cooperativa de Crédito e Economia com Interação Solidária Cresol Evolução  ",1,2024-04-29T12:18:17Z,29/4/2024 09:18,126
Comunicado N° 41.548,26/4/2024 10:27,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,131906,Comunicado,41548,0,Instituição Cooperativa de Crédito Credifor Ltda. - Sicoob Credifor (CNPJ 41.931.445  Instituição Cooperativa de Crédito e Investimento com Interação Solidária de Goiás  ,0,2024-04-26T13:27:24Z,26/4/2024 10:27,127
Resolução CMN N° 5.131,25/4/2024 18:02,"Altera a Resolução CMN nº 5.051, de 25 de novembro de 2022, que dispõe sobre a organização e o funcionamento de cooperativas de crédito. ",DINOR,52259,Resolução CMN,5131,0,"XIII -
realizar operações de crédito com o compartilhamento de recursos e de riscos em
conjunto com outras cooperativas de crédito integrantes do mesmo sistema
cooperativo  ",0,2024-04-25T21:02:00Z,25/4/2024 18:02,128
Comunicado N° 41.544,25/4/2024 10:03,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,131902,Comunicado,41544,0,Instituição Cooperativa de Economia e Crédito Mútuo dos Petroleiros no Estado de Minas  Instituição Cooperativa de Crédito e Investimento com Interação Solidária Alto Vale  ,0,2024-04-25T13:03:22Z,25/4/2024 10:03,129
Comunicado N° 41.536,24/4/2024 09:33,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,131894,Comunicado,41536,0,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades  Instituição Credicoamo Crédito Rural Cooperativa (CNPJ 81.723.108  ,0,2024-04-24T12:33:36Z,24/4/2024 09:33,130
Comunicado N° 41.532,23/4/2024 11:20,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,131890,Comunicado,41532,0,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou  Instituição Cooperativa de Crédito e Investimento com Interação Solidária de Goiás  ,0,2024-04-23T14:20:03Z,23/4/2024 11:20,131
Comunicado N° 41.524,22/4/2024 09:56,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,131882,Comunicado,41524,0,Instituição Cooperativa de Crédito e Investimento com Interação Solidária de Toledo e  Instituição Cooperativa de Crédito Poupança e Investimento dos Profissionais Médicos e da  ,0,2024-04-22T12:56:17Z,22/4/2024 09:56,132
Comunicado N° 41.518,19/4/2024 10:27,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,131876,Comunicado,41518,0,Instituição Cooperativa de Crédito de Livre Admissão de Jataí e Região Ltda. (CNPJ  Instituição Cooperativa de Crédito de Livre Admissão do Sul Catarinense - Acentra (CNPJ  ,0,2024-04-19T13:27:11Z,19/4/2024 10:27,133
Comunicado N° 41.514,18/4/2024 09:12,"
Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.",DEORF,131872,Comunicado,41514,0,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou  Instituição Cooperativa de Crédito Unicred Centro-Sul Ltda. - Unicred Centro-Sul (CNPJ  ,0,2024-04-18T12:12:10Z,18/4/2024 09:12,134
Comunicado N° 41.508,17/4/2024 08:22,"Divulga, para fins de recebimento de eventuais objeções, nomes de pessoas eleitas ou nomeadas para ocupar cargos de administração em instituições autorizadas a funcionar
",DEORF,131866,Comunicado,41508,0,"Porto Alegre (GTPAL) 
Instituição Banco Cooperativo Sicredi S.A. (CNPJ 01.181.521) 
Órgão  GTSP1) 
Instituição Superlógica Sociedade de Crédito Direto S.A. (CNPJ 43.599.047) 
Órgão  ",0,2024-04-17T11:22:14Z,17/4/2024 08:22,135
Comunicado N° 41.507,17/4/2024 08:20,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,131865,Comunicado,41507,0,"Instituição Cooperativa de Crédito de Livre Admissão Crediembrapa Ltda. - Sicoob (CNPJ  Instituição Cooperativa de Crédito, Poupança e Investimento Novos Horizontes - Sicredi  ",0,2024-04-17T11:20:14Z,17/4/2024 08:20,136
Comunicado N° 41.496,15/4/2024 09:36,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,131854,Comunicado,41496,0,Instituição Cooperativa de Crédito de Livre Admissão de Vitória da Conquista (CNPJ  Instituição Cooperativa de Crédito e Investimento com Interação Solidária Raiz - Cresol  ,0,2024-04-15T12:36:43Z,15/4/2024 09:36,137
Comunicado N° 41.491,12/4/2024 11:51,"
Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.",DEORF,131849,Comunicado,41491,0,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou  Instituição Cooperativa de Economia e Crédito Mútuo dos Bancários do Triângulo Ltda. (CNPJ  ,0,2024-04-12T14:51:47Z,12/4/2024 11:51,138
Comunicado N° 41.482,11/4/2024 10:31,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,131839,Comunicado,41482,0,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou  Instituição Cooperativa de Crédito Crediuna Ltda. - Sicoob Crediuna (CNPJ 64.237.530  ,0,2024-04-11T13:31:53Z,11/4/2024 10:31,139
Comunicado N° 41.476,10/4/2024 09:17,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,131833,Comunicado,41476,0,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou  Instituição Cooperativa de Crédito Cooperação - Sicredi Cooperação (CNPJ 87.779.625  ,0,2024-04-10T12:17:28Z,10/4/2024 09:17,140
Comunicado N° 41.470,9/4/2024 09:26,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,131827,Comunicado,41470,0,Instituição Cooperativa de Crédito dos Integrantes do Ministério Público e do Poder  Instituição Cooperativa de Crédito e Investimento com Interação Solidária Conexão - Cresol  ,0,2024-04-09T12:26:52Z,9/4/2024 09:26,141
Comunicado N° 41.463,8/4/2024 09:32,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,131820,Comunicado,41463,0,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou  Instituição Cooperativa de Economia e Crédito Mútuo dos Empregados de Elevadores Atlas  ,0,2024-04-08T12:32:39Z,8/4/2024 09:32,142
Comunicado N° 41.458,5/4/2024 08:21,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,131815,Comunicado,41458,0,Instituição Cooperativa de Crédito Noroeste de Minas Ltda. - Sicoob Noroeste de Minas  Instituição Central das Cooperativas de Crédito Unicoob - Sicoob Central Unicoob (CNPJ  ,0,2024-04-05T11:21:47Z,5/4/2024 08:21,143
Comunicado N° 41.450,4/4/2024 09:22,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,131807,Comunicado,41450,0,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de  Instituição Cooperativa de Crédito - Sicredi Expansão (CNPJ 41.180.092  ,0,2024-04-04T12:22:51Z,4/4/2024 09:22,144
Comunicado N° 41.444,3/4/2024 09:22,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,131801,Comunicado,41444,0,Instituição Cooperativa de Economia e Crédito Mútuo dos Bancários de Sorocaba e Região  Instituição Cooperativa de Economia e Crédito Mútuo dos Funcionários da Assembleia  ,0,2024-04-03T12:22:27Z,3/4/2024 09:22,145
Comunicado N° 41.438,2/4/2024 10:02,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,131795,Comunicado,41438,0,Instituição Cooperativa de Crédito de Livre Admissão da Região de São Sebastião do Paraíso  Instituição Cooperativa de Crédito Rural de Pequenos Agricultores e da Reforma Agrária do  ,0,2024-04-02T13:02:23Z,2/4/2024 10:02,146
Comunicado N° 41.431,1/4/2024 09:20,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,131788,Comunicado,41431,0,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou  Instituição Cooperativa de Economia e Crédito Mútuo dos Bancários de Belo Horizonte e  ,0,2024-04-01T12:20:53Z,1/4/2024 09:20,147
Resolução CMN N° 5.123,28/3/2024 18:01,"Autoriza a renegociação de parcelas de operações de crédito rural de investimento, com vencimento em 2024, contratadas por agricultores familiares, médios e demais produtores rurais cuja renda da atividade tenha sido prejudicada por adversidades climáticas ou dificuldades de comercialização. ",MF,52243,Resolução CMN,5123,0,"no âmbito dos Programas
de Desenvolvimento Cooperativo para Agregação de Valor à Produção  rurais detentores de operações de crédito rural de investimento com
parcelas previstas  ",0,2024-03-28T21:01:00Z,28/3/2024 18:01,148
Comunicado N° 41.423,28/3/2024 09:24,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,131780,Comunicado,41423,0,"Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou  Instituição Cooperativa de Economia e Crédito Mútuo dos Empregados do Grupo Casino, Grupo  ",0,2024-03-28T12:24:33Z,28/3/2024 09:24,149
Resolução BCB N° 374,27/3/2024 08:31,Dispõe sobre as Linhas Financeiras de Liquidez (LFL) do Banco Central do Brasil e aprova os regulamentos que disciplinam o seu funcionamento.,"DIPOM, DIFIS, DIRAD",52240,Resolução BCB,374,0,"aspectos relativos às cédulas de crédito
bancário oferecidas em garantia para geração de limites de crédito no âmbito
das LFL; e  ",0,2024-03-27T11:31:00Z,27/3/2024 08:31,150
Comunicado N° 41.411,26/3/2024 09:24,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,131768,Comunicado,41411,0,"Instituição Cooperativa de Crédito Nossocrédito Ltda. - Sicoob Nossocrédito (CNPJ  Instituição Cooperativa de Crédito,Poupança e Serviços Financeiros (CNPJ 05.491.616  ",0,2024-03-26T12:24:27Z,26/3/2024 09:24,151
Comunicado N° 41.403,25/3/2024 09:40,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,131760,Comunicado,41403,0,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou  Instituição Cooperativa de Crédito dos Empregados das Empresas do Grupo Indorama no Brasil  ,0,2024-03-25T12:40:18Z,25/3/2024 09:40,152
Comunicado N° 41.399,22/3/2024 09:16,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,131756,Comunicado,41399,0,Instituição Cooperativa de Crédito de Livre Admissão da Região de Pará de Minas Ltda  Instituição Cooperativa de Crédito de Produtores Rurais e de Livre Admissão do Triângulo  ,0,2024-03-22T12:16:20Z,22/3/2024 09:16,153
Comunicado N° 41.380,19/3/2024 09:30,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,131737,Comunicado,41380,0,Instituição Cooperativa de Crédito Credipeu Ltda. - Sicoob Credipeu (CNPJ 66.262.643  Instituição Nixfin Sociedade de Crédito Direto S.A. (CNPJ 44.921.281  ,0,2024-03-19T12:30:47Z,19/3/2024 09:30,154
Comunicado N° 41.372,15/3/2024 14:28,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,131729,Comunicado,41372,0,"Instituição Cooperativa de Crédito, Poupança e Investimento da Região Centro Oeste  Instituição Aymoré Crédito, Financiamento e Investimento S.A. (CNPJ 07.707.650  ",0,2024-03-15T17:28:12Z,15/3/2024 14:28,155
Comunicado N° 41.352,12/3/2024 10:57,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,131709,Comunicado,41352,0,Instituição Cooperativa de Crédito dos Profissionais de Saúde e de Livre Admissão do  Instituição Cooperativa de Crédito e Economia com Interação Solidária - Cresol Litoral  ,0,2024-03-12T13:57:31Z,12/3/2024 10:57,156
Comunicado N° 41.340,8/3/2024 10:24,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,131697,Comunicado,41340,0,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou  Instituição Cooperativa de Crédito Crediverde Ltda. - Sicoob Crediverde (CNPJ 25.528.753  ,0,2024-03-08T13:24:42Z,8/3/2024 10:24,157
Comunicado N° 41.334,7/3/2024 09:20,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,131691,Comunicado,41334,0,Instituição Cooperativa de Crédito de Livre Admissão de Belo Horizonte e Cidades Polo do  Instituição Cooperativa de Crédito e Economia com Interação Solidária - Cresol Xanxerê  ,0,2024-03-07T12:20:21Z,7/3/2024 09:20,158
Comunicado N° 41.329,6/3/2024 11:13,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,131686,Comunicado,41329,0,Instituição Cooperativa de Crédito Gerações - Sicredi Gerações RS/MG (CNPJ 88.471.024  Instituição Cooperativa de Crédito da Amazônia - Sicoob Amazônia (CNPJ 05.203.605  ,0,2024-03-06T14:13:59Z,6/3/2024 11:13,159
Comunicado N° 41.321,5/3/2024 10:46,"
Esclarece acerca da realização de operações e da prestação de serviços por parte das sociedades de crédito direto e das sociedades de empréstimo entre pessoas, nos termos da Resolução CMN nº 5.050, de 25 de novembro de 2022.
",DENOR,131678,Comunicado,41321,0,serviços por parte das sociedades de crédito direto e das sociedades de empréstimo entre  Chefe do Departamento de Supervisão de Cooperativas e de Instituições Não Bancárias (Desuc  ,0,2024-03-05T13:46:02Z,5/3/2024 10:46,160
Comunicado N° 41.313,4/3/2024 09:25,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,131670,Comunicado,41313,0,Instituição Cooperativa de Crédito Credisudeste Ltda. - Sicoob Credisudeste (CNPJ  Instituição Cooperativa de Economia e Crédito Mútuo dos Empregados da Pontifícia  ,0,2024-03-04T12:25:28Z,4/3/2024 09:25,161
Comunicado N° 41.306,1/3/2024 10:42,"
Comunica a cessação da liquidação extrajudicial da Cooperativa de Economia e Crédito Mútuo dos Servidores da Administração Pública Municipal de Porto Alegre - MUNICRED",DERAD,131663,Comunicado,41306,0,a cessação da liquidação extrajudicial da Cooperativa de Economia e Crédito Mútuo dos Servidores da Administração Pública  ,0,2024-03-01T13:42:26Z,1/3/2024 10:42,162
Comunicado N° 41.305,1/3/2024 10:24,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,131662,Comunicado,41305,0,Instituição Cooperativa de Crédito dos Servidores do Município de Santo André - SP  Instituição Cooperativa de Crédito Mútuo dos Empregados da SKF e Coligadas (CNPJ  ,0,2024-03-01T13:24:14Z,1/3/2024 10:24,163
Comunicado N° 41.299,29/2/2024 11:10,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,131656,Comunicado,41299,0,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou  Instituição Cooperativa de Crédito de Livre Admissão do Estado de São Paulo - Sicoob  ,0,2024-02-29T14:10:38Z,29/2/2024 11:10,164
Comunicado N° 41.288,27/2/2024 09:42,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,131645,Comunicado,41288,0,Instituição Cooperativa de Crédito Credimota - Sicoob Credimota (CNPJ 66.788.142  Instituição Cartos Sociedade de Crédito Direto S.A. (CNPJ 21.332.862  ,0,2024-02-27T12:42:26Z,27/2/2024 09:42,165
Comunicado N° 41.283,26/2/2024 09:33,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,131640,Comunicado,41283,0,"Instituição Central das Cooperativas de Crédito dos Estados de Mato Grosso, Mato Grosso do  Instituição Credifit Sociedade de Crédito Direto S.A. (CNPJ 39.676.772  ",0,2024-02-26T12:33:39Z,26/2/2024 09:33,166
Comunicado N° 41.277,23/2/2024 10:34,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,131634,Comunicado,41277,0,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de  Instituição Sicoob Crediconsumo - Cooperativa de Crédito (CNPJ 47.074.323  ,0,2024-02-23T13:34:32Z,23/2/2024 10:34,167
Comunicado N° 41.273,22/2/2024 16:10,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,131630,Comunicado,41273,0,Instituição Credi-Shop - Sociedade de Crédito Direto S.A. (CNPJ INEXISTENTE  Instituição Cooperativa de Crédito e Economia com Interação Solidária - Cresol Mais (CNPJ  ,0,2024-02-22T19:10:18Z,22/2/2024 16:10,168
Comunicado N° 41.252,16/2/2024 11:43,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,131609,Comunicado,41252,0,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou  Instituição Cooperativa de Crédito e Investimento com Interação Solidária Fronteiras PR/SC  ,0,2024-02-16T14:43:14Z,16/2/2024 11:43,169
Comunicado N° 41.251,16/2/2024 08:11,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,131608,Comunicado,41251,0,Instituição Cooperativa de Crédito e Investimento com Interação Solidária Grandes Lagos PR  Instituição Cooperativa de Crédito do Vale dos Pinhais - Sicoob Vale dos Pinhais (CNPJ  ,0,2024-02-16T11:11:15Z,16/2/2024 08:11,170
Comunicado N° 41.232,8/2/2024 09:30,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,131588,Comunicado,41232,0,"Instituição Cooperativa de Crédito, Poupança e Investimento do Cerrado de Goiás - Sicredi  Instituição Cooperativa de Crédito e Economia com Interação Solidária - Cresol Encostas da  ",0,2024-02-08T12:30:06Z,8/2/2024 09:30,171
Comunicado N° 41.220,6/2/2024 09:18,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,131576,Comunicado,41220,0,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou  Instituição Cooperativa de Crédito e Investimento de Livre Admissão Agroempresarial  ,0,2024-02-06T12:18:20Z,6/2/2024 09:18,172
Comunicado N° 41.214,5/2/2024 09:49,Divulga nome aprovado de pessoas eleitas/nomeadas para cargos de órgãos estatutários ou contratuais de sociedades autorizadas a funcionar pelo Banco Central do Brasil.,DEORF,131570,Comunicado,41214,0,Instituição Cooperativa de Crédito dos Profissionais dos Creas e Demais Áreas Tecnológicas  Instituição Cooperativa de Crédito e Investimento com Interação Solidária Planalto Sul  ,0,2024-02-05T12:49:14Z,5/2/2024 09:49,173
Instrução Normativa BCB N° 453,30/1/2024 14:46,"Divulga procedimentos, documentos, prazos e informações necessários à instrução dos pedidos de autorização previstos no art. 3º, incisos V, VII, XI e XIII, da Resolução CMN nº 4.970, de 25 de novembro de 2021, formulados por cooperativa singular de crédito filiada a cooperativa central de crédito, e altera a Instrução Normativa BCB nº 299, de 30 de agosto de 2022.",DEORF,52223,Instrução Normativa BCB,453,0,"para cargos em órgãos
estatutários, a cooperativa singular de crédito deverá enviar à respectiva
cooperativa central de crédito, no prazo de quinze dias do respectivo  ",0,2024-01-30T17:46:00Z,30/1/2024 14:46,174
